Time,Temp,Humidity,RawGas,CorrectedGas,AQI,PredictedAQI,AQI_prev1,AQI_prev2,delta_AQI,delta2_AQI
459,36.1,30.7,236,225.3,20,18,20.0,21.0,0.0,1.0
461,36.1,30.7,236,225.3,20,19,20.0,20.0,0.0,0.0
463,36.1,30.7,236,225.3,20,19,20.0,20.0,0.0,0.0
465,36.1,30.7,236,225.3,20,19,20.0,20.0,0.0,0.0
468,36.1,30.7,236,225.3,20,19,20.0,20.0,0.0,0.0
470,36.1,30.7,235,224.3,20,19,20.0,20.0,0.0,0.0
472,36.1,30.7,234,223.4,19,18,20.0,20.0,-1.0,-1.0
474,36.1,30.7,233,222.4,18,16,19.0,20.0,-1.0,0.0
476,36.1,30.7,232,221.5,17,15,18.0,19.0,-1.0,0.0
478,36.1,30.7,232,221.5,17,15,17.0,18.0,0.0,1.0
480,36.1,30.7,231,220.5,16,14,17.0,17.0,-1.0,-1.0
482,36.1,30.7,231,220.5,16,14,16.0,17.0,0.0,1.0
484,36.2,30.7,230,219.1,15,13,16.0,16.0,-1.0,-1.0
486,36.2,30.7,229,218.2,15,13,15.0,16.0,0.0,1.0
488,36.2,30.7,229,218.2,15,13,15.0,15.0,0.0,0.0
490,36.2,30.7,229,218.2,15,13,15.0,15.0,0.0,0.0
492,36.2,30.7,229,218.2,15,13,15.0,15.0,0.0,0.0
494,36.2,30.7,229,218.2,15,13,15.0,15.0,0.0,0.0
496,36.2,30.7,229,218.2,15,13,15.0,15.0,0.0,0.0
498,36.2,30.7,228,217.2,14,12,15.0,15.0,-1.0,-1.0
500,36.2,30.7,228,217.2,14,12,14.0,15.0,0.0,1.0
502,36.2,30.7,228,217.2,14,12,14.0,14.0,0.0,0.0
504,36.2,30.7,228,217.2,14,12,14.0,14.0,0.0,0.0
506,36.1,30.7,228,217.6,14,12,14.0,14.0,0.0,0.0
508,36.1,30.7,227,216.7,13,11,14.0,14.0,-1.0,-1.0
511,36.1,30.7,227,216.7,13,11,13.0,14.0,0.0,1.0
513,36.1,30.7,227,216.7,13,11,13.0,13.0,0.0,0.0
515,36.1,30.7,226,215.7,12,10,13.0,13.0,-1.0,-1.0
517,36.2,30.7,226,215.3,12,9,12.0,13.0,0.0,1.0
519,36.1,30.7,226,215.7,12,10,12.0,12.0,0.0,0.0
521,36.1,30.7,226,215.7,12,10,12.0,12.0,0.0,0.0
523,36.1,30.7,225,214.8,11,9,12.0,12.0,-1.0,-1.0
525,36.1,30.7,225,214.8,11,8,11.0,12.0,0.0,1.0
527,36.1,30.7,224,213.8,10,8,11.0,11.0,-1.0,-1.0
529,36.1,30.7,223,212.9,10,7,10.0,11.0,0.0,1.0
531,36.1,30.7,223,212.9,10,8,10.0,10.0,0.0,0.0
533,36.1,30.7,222,211.9,9,6,10.0,10.0,-1.0,-1.0
